Time,Seconds,NaiveLat,NaiveLng,NaiveAcc,NaiveSpeed,NewLat,NewLng,NewAcc,NewSpeed
12/10/2012 2:41:32 PM -08:00,1,47.64132264,-122.1406041,23.73663986,16.6053862564132,47.6413292209344,-122.14062381866,18.0033141045395,14.4332843686632
12/10/2012 2:41:33 PM -08:00,2,47.64133165,-122.140574,22.73889713,17.3907040495529,47.6413271039449,-122.140620589655,16.8380431175803,13.9699829081039
12/10/2012 2:41:34 PM -08:00,3,47.64121535,-122.1405187,18.09933855,19.6694162401264,47.6412827460324,-122.14058060987,14.0061411312817,13.3218677924583
12/10/2012 2:41:35 PM -08:00,4,47.64123425,-122.1405111,11.05256457,10.9686772187929,47.6412599559884,-122.140550023821,9.94838672582911,9.81081523468136
12/10/2012 2:41:36 PM -08:00,5,47.64124519,-122.1405007,8.931820983,7.3785412732104,47.6412631337489,-122.140527833336,7.84446975595596,6.59443351859397
12/10/2012 2:41:37 PM -08:00,6,47.64124959,-122.1404852,6.954499591,5.9343150790002,47.6412606270529,-122.140506955605,6.20662417626074,5.45646521465531
12/10/2012 2:41:38 PM -08:00,7,47.64125613,-122.1404683,6.954499591,5.10662783540529,47.6412611116161,-122.140493336463,5.98283601221451,4.88543756574444
12/10/2012 2:41:39 PM -08:00,8,47.64126333,-122.140453,5.692941186,4.66802492028331,47.641264003601,-122.14047499284,5.14839763984766,4.46613327298864
12/10/2012 2:41:40 PM -08:00,9,47.64126648,-122.1404315,5.692941186,4.30927260211797,47.6412655517826,-122.140457417613,5.00410004451398,4.0560256463331
12/10/2012 2:41:41 PM -08:00,10,47.64126983,-122.1404107,5.692941186,4.38943855912835,47.6412658493736,-122.140439959526,5.07265310598266,3.96800132160848
12/10/2012 2:41:42 PM -08:00,11,47.64127243,-122.1403882,5.692941186,4.33759095815999,47.6412692159846,-122.140417848083,4.91646096123051,4.01017387801026
12/10/2012 2:41:43 PM -08:00,12,47.64127297,-122.1403656,6.954499591,4.9154426769665,47.6412715497071,-122.140404989403,5.27433820462471,3.91997457459395
12/10/2012 2:41:44 PM -08:00,13,47.64127155,-122.1403414,5.692941186,4.91838307624717,47.6412700715865,-122.140378088155,5.04931188940372,4.22925155893407
12/10/2012 2:41:45 PM -08:00,14,47.6412697,-122.1403186,5.692941186,4.38105699355171,47.6412702013987,-122.140354997231,4.68047009845652,3.97651039017563
12/10/2012 2:41:46 PM -08:00,15,47.6412682,-122.1402952,6.954499591,4.84318671988538,47.6412682571288,-122.140338619647,5.3601529075001,3.88243225883762
12/10/2012 2:41:47 PM -08:00,16,47.6412656,-122.1402683,6.954499591,5.19088285607307,47.6412674792616,-122.140317144734,5.22247134655481,4.02290717165872
12/10/2012 2:41:48 PM -08:00,17,47.64126463,-122.140249,5.692941186,4.81463426935537,47.6412655830086,-122.14028739867,4.95143595595352,4.2821054645164
12/10/2012 2:41:49 PM -08:00,18,47.64126359,-122.1402284,5.692941186,4.26400047402967,47.6412642945608,-122.140264122756,4.80859587918895,3.91138936806065
12/10/2012 2:41:50 PM -08:00,19,47.64126048,-122.1402057,5.692941186,4.39776553368851,47.6412632741244,-122.140240849901,4.75047150926449,3.79955451539697
12/10/2012 2:41:51 PM -08:00,20,47.64125885,-122.1401838,5.692941186,4.36239881727713,47.6412608161944,-122.140219042002,4.80128807503951,3.72506952912181
12/10/2012 2:41:52 PM -08:00,21,47.64125583,-122.1401611,5.692941186,4.37316805168217,47.6412564334387,-122.140196416559,4.78337652619859,3.87514422054083
12/10/2012 2:41:53 PM -08:00,22,47.64125483,-122.1401426,5.692941186,4.32785954996832,47.641257200986,-122.140176071612,4.77154416100097,3.76432235655702
12/10/2012 2:41:54 PM -08:00,23,47.64125248,-122.1401211,5.692941186,4.31520623760724,47.6412547024043,-122.140156003808,4.86869150258524,3.75255896745615
12/10/2012 2:41:55 PM -08:00,24,47.64125181,-122.1401012,5.692941186,4.3287150111261,47.6412538812346,-122.140136553658,5.00099704114282,3.78436140434869
12/10/2012 2:41:56 PM -08:00,25,47.64125152,-122.1400863,5.692941186,4.23438093124451,47.6412552934155,-122.140118798567,4.94056508654402,3.84994224546639
12/10/2012 2:41:57 PM -08:00,26,47.6412511,-122.1400703,6.954499591,4.63598721673984,47.6412551170249,-122.140105367671,5.46463380606966,3.83208298250916
12/10/2012 2:41:58 PM -08:00,27,47.64124611,-122.1400472,5.692941186,4.99099648917885,47.6412512232385,-122.140082104582,5.24090407504423,4.32601540039519
12/10/2012 2:41:59 PM -08:00,28,47.64124326,-122.1400276,5.692941186,4.35922310133131,47.6412480783655,-122.140059252846,4.90963834322742,4.17556105227462
12/10/2012 2:42:00 PM -08:00,29,47.64124167,-122.1400104,5.692941186,4.20714496281411,47.6412476437058,-122.140039397273,4.90369543429046,4.01591705300122
12/10/2012 2:42:01 PM -08:00,30,47.6412379,-122.1399882,3.994431776,3.82804260622112,47.641243847267,-122.140005999876,3.81717260911251,4.08260467314863
12/10/2012 2:42:02 PM -08:00,31,47.64123479,-122.1399702,5.692941186,3.75553539428116,47.6412411810671,-122.139997474792,4.75045787899424,3.21673910712363
12/10/2012 2:42:03 PM -08:00,32,47.64123207,-122.1399548,5.692941186,4.1890097840031,47.641238729173,-122.139983623877,4.61638873886942,3.43388502667233
12/10/2012 2:42:04 PM -08:00,33,47.64123102,-122.1399376,3.994431776,3.73852861617855,47.6412355910489,-122.139959911984,3.88717007799684,3.62418644778303
12/10/2012 2:42:05 PM -08:00,34,47.64122901,-122.1399212,5.692941186,3.69095984948226,47.6412324406147,-122.139950261306,4.4958890830052,3.07513117075414
12/10/2012 2:42:06 PM -08:00,35,47.64122683,-122.139903,3.994431776,3.7422209459171,47.641229220157,-122.139925655377,4.13083507681872,3.65736302811073
12/10/2012 2:42:07 PM -08:00,36,47.64122549,-122.1398871,5.692941186,3.70703234399976,47.6412292773511,-122.139912422209,4.68967786657894,3.22665523245401
12/10/2012 2:42:08 PM -08:00,37,47.64122365,-122.1398715,5.692941186,4.28995898563156,47.641227774792,-122.139900857903,4.79367674949304,3.48533226650343
12/10/2012 2:42:09 PM -08:00,38,47.64122205,-122.1398522,5.692941186,4.36533281520252,47.6412257243331,-122.13988486226,4.74385800412725,3.7318408434423
12/10/2012 2:42:10 PM -08:00,39,47.64122109,-122.1398369,3.994431776,3.70698178383579,47.6412248460264,-122.139856660401,4.00308439679444,3.9125637238186
12/10/2012 2:42:11 PM -08:00,40,47.64122,-122.1398196,5.692941186,3.77180566694987,47.6412239364763,-122.139846071986,4.68093140961404,3.29272498193791
12/10/2012 2:42:12 PM -08:00,41,47.64121941,-122.1398038,5.692941186,4.24673992382518,47.6412216477096,-122.139829592694,4.85693549337973,3.77415541383166
12/10/2012 2:42:13 PM -08:00,42,47.64121564,-122.1397816,3.994431776,3.84040095000875,47.6412170422594,-122.139801920566,4.09290331947391,3.83154859726036
12/10/2012 2:42:14 PM -08:00,43,47.64121262,-122.1397625,3.994431776,3.14630103291358,47.6412147173542,-122.139780162017,3.75584711762471,3.32848287347083
12/10/2012 2:42:15 PM -08:00,44,47.64120822,-122.1397407,5.692941186,3.89868222166323,47.6412125643373,-122.139767544913,4.44097983838051,3.22496418944576
12/10/2012 2:42:16 PM -08:00,45,47.64120382,-122.1397205,5.692941186,4.43115618204374,47.6412100756066,-122.139750059644,4.46261677727337,3.65592609345861
12/10/2012 2:42:17 PM -08:00,46,47.64120093,-122.1397022,6.954499591,4.71328454723328,47.6412082119937,-122.139740250461,5.13890863343416,3.69687282520862
12/10/2012 2:42:18 PM -08:00,47,47.64119867,-122.139686,9.809766572,6.23605080609255,47.6412075258767,-122.139735633476,5.9756460755951,4.11998091317315
12/10/2012 2:42:19 PM -08:00,48,47.64119691,-122.1396714,8.051034635,6.6003488557838,47.641205687048,-122.139720354719,6.0005979393283,4.33394690472675
12/10/2012 2:42:20 PM -08:00,49,47.64119599,-122.1396568,8.051034635,5.90333927422334,47.6412034839302,-122.139706951527,6.08521573933959,4.48227253063958
12/10/2012 2:42:21 PM -08:00,50,47.64119464,-122.1396416,8.051034635,5.91536191847731,47.6412025754737,-122.139691255254,6.40403256568292,4.62564217600193
12/10/2012 2:42:22 PM -08:00,51,47.64119288,-122.1396273,8.051034635,5.97083270603112,47.6411995456015,-122.139674163817,6.16853868716752,4.76663152034119
12/10/2012 2:42:23 PM -08:00,52,47.64119318,-122.1396142,8.051034635,5.96684210862936,47.641198328055,-122.139660433246,6.37003760544877,4.60824725561524
12/10/2012 2:42:24 PM -08:00,53,47.64119188,-122.1395975,8.051034635,5.8985009475679,47.6411981654836,-122.139644010288,6.61406945327027,4.88912536347608
12/10/2012 2:42:25 PM -08:00,54,47.64120303,-122.139587,6.954499591,5.59761516598274,47.6412009709313,-122.139625990452,5.98140344114189,4.5652491736202
12/10/2012 2:42:26 PM -08:00,55,47.6412068,-122.1395748,8.051034635,5.55869789735356,47.6412020885557,-122.139615660367,5.99379415436303,4.24300072657993
12/10/2012 2:42:27 PM -08:00,56,47.64121346,-122.1395636,8.051034635,5.96935051768832,47.641205787932,-122.139605917023,6.09278898431638,4.3752669758558
12/10/2012 2:42:28 PM -08:00,57,47.64121983,-122.1395538,9.809766572,6.68337986851521,47.6412071585009,-122.13960080967,6.55775334972419,4.60006871145914
12/10/2012 2:42:29 PM -08:00,58,47.64122096,-122.1395347,9.809766572,7.10407604808534,47.6412101246406,-122.139589137536,6.53732763502419,4.65033780730504
12/10/2012 2:42:30 PM -08:00,59,47.64122122,-122.1395181,8.051034635,6.52445678026782,47.6412129325466,-122.139572910985,6.87456953217924,4.81464900786561
12/10/2012 2:42:31 PM -08:00,60,47.6412003,-122.1394931,8.051034635,6.43234956366267,47.6412062506085,-122.139549901001,6.55262965809643,5.02619375397437
12/10/2012 2:42:32 PM -08:00,61,47.64118974,-122.1394808,8.051034635,5.97690549862411,47.6411987475571,-122.139528769926,6.67624011046814,5.15911104505817
12/10/2012 2:42:33 PM -08:00,62,47.6411845,-122.1394738,6.990255609,5.5142117802659,47.6411917417247,-122.139510810138,5.94121373427328,4.66674290131219
12/10/2012 2:42:34 PM -08:00,63,47.64118144,-122.1394696,5.692941186,4.55157509636583,47.6411864352773,-122.139494828528,5.34774267994936,4.46404437867947
12/10/2012 2:42:35 PM -08:00,64,47.64117721,-122.1394619,6.990255609,4.57904666658041,47.6411847796133,-122.139485739425,5.71480311421536,4.14119912845941
12/10/2012 2:42:36 PM -08:00,65,47.64117428,-122.1394549,5.692941186,4.58402744148292,47.6411819712223,-122.139473797911,5.03654179432397,4.14476492711511
12/10/2012 2:42:37 PM -08:00,66,47.64117273,-122.139451,6.990255609,4.58702440482423,47.6411793015591,-122.139468796168,5.49759614728502,4.00299791793172
12/10/2012 2:42:38 PM -08:00,67,47.6411721,-122.1394498,6.990255609,5.07991068967368,47.6411793501433,-122.139465073609,5.82535066626802,4.35040874131914
12/10/2012 2:42:39 PM -08:00,68,47.64117214,-122.1394518,6.990255609,5.09855502386991,47.6411759433489,-122.139461935166,5.63280769947471,4.46091998169932
12/10/2012 2:42:40 PM -08:00,69,47.64117344,-122.1394575,5.692941186,4.55508617203658,47.6411759803151,-122.13946139596,5.20871168327452,4.45582615046242
12/10/2012 2:42:41 PM -08:00,70,47.64117453,-122.139464,5.692941186,4.08306588526139,47.6411746276097,-122.139464316033,5.14415638440364,4.06289052849444
12/10/2012 2:42:42 PM -08:00,71,47.64117583,-122.1394706,5.692941186,4.05793496802912,47.6411747337655,-122.139465982276,4.92781836335615,3.94058100101494
12/10/2012 2:42:43 PM -08:00,72,47.64117838,-122.139477,5.692941186,4.28914017976645,47.641177035882,-122.139471267958,4.94577141501521,3.96876190377674
12/10/2012 2:42:44 PM -08:00,73,47.64117822,-122.1394788,5.692941186,4.20473855353118,47.6411780815511,-122.139471378252,4.71797756413307,3.96316540486793
